0.000000, 0.000000, 1, 1, 1, 1, 0.000000, 0.000000 
0.141708, 0.279857, 0, 0, 0, 0, 0.000000, 0.000000 
0.818135, 0.736411, 0, 0, 0, 0, 0.000000, 0.000000 
0.389996, 0.950739, 0, 0, 0, 0, 0.000000, 0.000000 
2.686598, 2.029178, 0, 0, 0, 0, 0.000000, 0.000000 
2.935473, 1.608694, 0, 0, 0, 0, 0.000000, 0.000000 
4.571930, 2.859585, 0, 0, 0, 0, 0.000000, 0.000000 
4.508370, 3.062157, 0, 0, 0, 0, 0.000000, 0.000000 
8.000000, 2.313058, 1, 0, 0, 0, 1.000000, 270.000000 
7.169254, 4.113830, 0, 0, 0, 0, 0.000000, 0.000000 
9.330565, 3.264345, 0, 0, 0, 0, 0.000000, 0.000000 
9.464122, 3.761720, 0, 0, 0, 0, 0.000000, 0.000000 
10.958016, 1.323072, 0, 0, 0, 0, 0.000000, 0.000000 
11.763078, 3.111498, 0, 0, 0, 0, 0.000000, 0.000000 
12.918961, 0.277708, 0, 0, 0, 0, 0.000000, 0.000000 
13.628797, 1.444232, 0, 0, 0, 0, 0.000000, 0.000000 
14.087736, 0.970540, 0, 0, 0, 0, 0.000000, 0.000000 
16.000000, 0.000000, 1, 1, 1, 1, 0.000000, 0.000000 
0, 1, 1.000000, 0.000000, -0.430576 
0, 2, 1.000000, 0.000000, 1.321562 
1, 2, 1.000000, 0.000000, -0.084179 
1, 3, 1.000000, 0.000000, -0.359385 
2, 3, 1.000000, 0.000000, 0.449042 
2, 4, 1.000000, 0.000000, 0.411364 
2, 5, 1.000000, 0.000000, 1.055292 
3, 5, 1.000000, 0.000000, -0.543572 
4, 5, 1.000000, 0.000000, -0.078399 
4, 6, 1.000000, 0.000000, 0.413281 
5, 6, 1.000000, 0.000000, 0.354870 
5, 7, 1.000000, 0.000000, 0.173723 
6, 7, 1.000000, 0.000000, -0.062915 
6, 8, 1.000000, 0.000000, -0.208783 
6, 9, 1.000000, 0.000000, 0.941142 
7, 9, 1.000000, 0.000000, 0.157447 
8, 9, 1.000000, 0.000000, -0.678844 
8, 10, 1.000000, 0.000000, -0.603025 
9, 10, 1.000000, 0.000000, -0.210089 
9, 11, 1.000000, 0.000000, 1.491069 
10, 11, 1.000000, 0.000000, -0.183530 
10, 12, 1.000000, 0.000000, 0.188349 
10, 13, 1.000000, 0.000000, -0.760982 
11, 13, 1.000000, 0.000000, 1.482174 
12, 13, 1.000000, 0.000000, -0.070604 
12, 14, 1.000000, 0.000000, 0.169967 
13, 14, 1.000000, 0.000000, -0.254711 
13, 15, 1.000000, 0.000000, 0.984321 
14, 15, 1.000000, 0.000000, -0.073097 
14, 16, 1.000000, 0.000000, 0.385741 
14, 17, 1.000000, 0.000000, -0.241011 
15, 16, 1.000000, 0.000000, 1.000184 
16, 17, 1.000000, 0.000000, 1.152581 
